 Nx
          31
 Ny
          31
 Nz
          44
 Escat_x Data
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.25120573E-01  0.10256894E-01
 0.51648784E-01  0.22041993E-01
 0.77327953E-01  0.42517728E-01
 0.91476705E-01  0.74977727E-01
 0.86048230E-01  0.11192597E+00
 0.63315603E-01  0.14323898E+00
 0.30784406E-01  0.16412199E+00
-0.49855605E-02  0.17444442E+00
-0.39709887E-01  0.17553503E+00
-0.70379658E-01  0.16927857E+00
-0.95010266E-01  0.15823055E+00
-0.11263162E+00  0.14508575E+00
-0.12308384E+00  0.13221865E+00
-0.12672361E+00  0.12137623E+00
-0.12414985E+00  0.11351781E+00
-0.11602869E+00  0.10877213E+00
-0.10305935E+00  0.10648508E+00
-0.86081423E-01  0.10535412E+00
-0.66281450E-01  0.10366965E+00
-0.45411333E-01  0.99692233E-01
-0.25892342E-01  0.92169174E-01
-0.10662058E-01  0.80929706E-01
-0.26557211E-02  0.67404694E-01
-0.39185072E-02  0.54832459E-01
-0.14517976E-01  0.47892962E-01
-0.31619007E-01  0.51614098E-01
-0.49207592E-01  0.69636403E-01
-0.58900157E-01  0.10225603E+00
-0.51987864E-01  0.14496279E+00
-0.22374590E-01  0.18827816E+00
 0.30466735E-01  0.21944063E+00
 0.99722027E-01  0.22587048E+00
 0.17173247E+00  0.19954617E+00
 0.22918601E+00  0.14076589E+00
 0.25638275E+00  0.59615777E-01
 0.24482635E+00 -0.25952464E-01
 0.19580188E+00 -0.93939390E-01
 0.12469354E+00 -0.12213236E+00
 0.63887156E-01 -0.10379659E+00
 0.38920316E-01 -0.65404448E-01
 0.33782757E-01 -0.39680181E-01
 0.21070318E-01 -0.22177097E-01
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.35280138E-01  0.15049109E-01
 0.74262796E-01  0.31684547E-01
 0.11401795E+00  0.61591913E-01
 0.13720779E+00  0.11145994E+00
 0.12953729E+00  0.16976050E+00
 0.93763715E-01  0.21966496E+00
 0.41828576E-01  0.25289722E+00
-0.15559078E-01  0.26902557E+00
-0.71334598E-01  0.27019141E+00
-0.12053859E+00  0.25952995E+00
-0.15993233E+00  0.24128882E+00
-0.18796457E+00  0.21992755E+00
-0.20440871E+00  0.19935165E+00
-0.20985551E+00  0.18240789E+00
-0.20524730E+00  0.17062445E+00
-0.19158885E+00  0.16413877E+00
-0.16990536E+00  0.16176641E+00
-0.14145018E+00  0.16120713E+00
-0.10809290E+00  0.15943291E+00
-0.72739397E-01  0.15332106E+00
-0.39560636E-01  0.14055505E+00
-0.13768012E-01  0.12069937E+00
-0.72165450E-03  0.96180950E-01
-0.43389061E-02  0.72741802E-01
-0.25084484E-01  0.58872259E-01
-0.58191124E-01  0.63899792E-01
-0.93014506E-01  0.94844766E-01
-0.11436726E+00  0.15277878E+00
-0.10616979E+00  0.23000064E+00
-0.56847932E-01  0.30955205E+00
 0.35111471E-01  0.36815664E+00
 0.15769556E+00  0.38253860E+00
 0.28607303E+00  0.33756748E+00
 0.38836390E+00  0.23339634E+00
 0.43539861E+00  0.88409915E-01
 0.41124681E+00 -0.64161947E-01
 0.31840354E+00 -0.18326282E+00
 0.18634069E+00 -0.22740372E+00
 0.77095785E-01 -0.18475198E+00
 0.39633169E-01 -0.10732120E+00
 0.42335816E-01 -0.59536326E-01
 0.29885197E-01 -0.32838235E-01
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.24090799E-01  0.12568868E-01
 0.54571879E-01  0.24648416E-01
 0.90305544E-01  0.48040853E-01
 0.11394133E+00  0.92525479E-01
 0.10833042E+00  0.14791343E+00
 0.74238934E-01  0.19631350E+00
 0.23268901E-01  0.22828885E+00
-0.33575304E-01  0.24296043E+00
-0.88888768E-01  0.24250151E+00
-0.13748809E+00  0.23029119E+00
-0.17607401E+00  0.21088333E+00
-0.20315266E+00  0.18900743E+00
